Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Temp difference,Power,Wear severity,Load factor
M,298.1,308.6,1551,42.8,0,0,10.5,6951.59056015735,0.0,0.0275950999355254
L,298.2,308.7,1408,46.3,3,0,10.5,6826.722724152667,138.89999999999998,0.0328835227272727
L,298.1,308.5,1498,49.4,5,0,10.399999999999975,7749.387542560967,247.0,0.032977303070761
L,298.2,308.6,1433,39.5,7,0,10.400000000000034,5927.504658915661,276.5,0.0275645498953244
L,298.2,308.7,1408,40.0,9,0,10.5,5897.816608339238,360.0,0.0284090909090909
M,298.1,308.6,1425,41.9,11,0,10.5,6252.554778807085,460.9,0.0294035087719298
L,298.1,308.6,1558,42.4,14,0,10.5,6917.703247400628,593.6,0.0272143774069319
L,298.1,308.6,1527,40.2,16,0,10.5,6428.264055922363,643.2,0.0263261296660117
M,298.3,308.7,1667,28.6,18,0,10.399999999999975,4992.639989035923,514.8000000000001,0.0171565686862627
M,298.5,309.0,1741,28.0,21,0,10.5,5104.878622573175,588.0,0.016082711085583
H,298.4,308.9,1782,23.9,24,0,10.5,4459.993426595286,573.5999999999999,0.01341189674523
H,298.6,309.1,1423,44.3,29,0,10.5,6601.41817101272,1284.6999999999998,0.0311314125087842
M,298.6,309.1,1339,51.1,34,0,10.5,7165.22933257697,1737.4,0.0381628080657206
M,298.6,309.2,1742,30.0,37,0,10.599999999999966,5472.65440255342,1110.0,0.0172215843857634
L,298.6,309.2,2035,19.6,40,0,10.599999999999966,4176.852152702751,784.0,0.0096314496314496
L,298.6,309.2,1542,48.4,42,0,10.599999999999966,7815.528539894543,2032.8,0.0313878080415045
M,298.6,309.2,1311,46.6,44,0,10.599999999999966,6397.602111623327,2050.4,0.0355453852021357
M,298.7,309.2,1410,45.6,47,0,10.5,6733.061375173645,2143.2000000000003,0.0323404255319148
H,298.8,309.2,1306,54.5,50,0,10.399999999999975,7453.638010152023,2725.0,0.0417304747320061
M,298.9,309.3,1632,32.5,55,0,10.400000000000034,5554.3358115467545,1787.5,0.0199142156862745
H,298.9,309.3,1375,42.7,58,0,10.400000000000034,6148.358622463024,2476.6000000000004,0.0310545454545454
L,298.8,309.3,1450,44.8,63,0,10.5,6802.595292573098,2822.4,0.0308965517241379
M,298.9,309.3,1581,30.7,65,0,10.400000000000034,5082.751338316391,1995.5,0.0194180898165717
L,299.0,309.4,1758,25.7,68,0,10.399999999999975,4731.3013681593,1747.6,0.0146188850967007
M,299.0,309.4,1561,37.3,70,0,10.399999999999975,6097.339157768726,2611.0,0.0238949391415759
L,299.0,309.5,1861,23.3,73,0,10.5,4540.784717670103,1700.9,0.0125201504567436
L,299.1,309.5,1512,39.0,75,0,10.399999999999975,6175.114519896098,2925.0,0.0257936507936507
H,299.1,309.4,1811,24.6,77,0,10.299999999999956,4665.327922433915,1894.2,0.0135836554389839
L,299.1,309.4,1439,44.2,82,0,10.299999999999956,6660.574360679817,3624.4,0.0307157748436414
L,299.0,309.4,1693,30.1,84,0,10.399999999999975,5336.445417069278,2528.4,0.0177790903721205
M,299.1,309.5,1339,48.2,86,0,10.399999999999975,6758.592051471818,4145.2,0.0359970126960418
L,299.0,309.4,1798,25.5,89,0,10.399999999999975,4801.296052481281,2269.5,0.0141824249165739
L,299.0,309.4,1419,48.3,91,0,10.399999999999975,7177.251160464705,4395.3,0.0340380549682875
L,298.9,309.3,1665,32.5,93,0,10.400000000000034,5666.647748912589,3022.5,0.0195195195195195
M,298.8,309.1,1559,34.7,95,0,10.300000000000011,5665.056008634771,3296.5000000000005,0.0222578576010263
M,298.8,309.2,1452,48.6,98,0,10.399999999999975,7389.779903480055,4762.8,0.0334710743801652
M,298.9,309.2,1581,36.7,101,0,10.300000000000011,6076.122935381484,3706.7,0.023213156230234
L,298.8,309.1,1439,39.2,104,0,10.300000000000011,5907.115722593864,4076.8,0.0272411396803335
H,298.9,309.2,1379,50.7,106,0,10.300000000000011,7321.51309511755,5374.200000000001,0.0367657722987672
L,298.8,309.1,1350,52.5,111,0,10.300000000000011,7422.0126441058865,5827.5,0.0388888888888888
L,298.8,309.1,1362,45.4,113,0,10.300000000000011,6475.3251138731375,5130.2,0.0333333333333333
L,298.8,309.1,1368,50.8,115,0,10.300000000000011,7277.436550187684,5842.0,0.0371345029239766
M,298.8,309.1,1368,49.1,117,0,10.300000000000011,7033.900287681404,5744.7,0.035891812865497
H,298.8,309.2,1372,48.5,120,0,10.399999999999975,6968.261945172401,5820.0,0.0353498542274052
M,298.8,309.1,1472,47.5,125,0,10.300000000000011,7322.005277966611,5937.5,0.0322690217391304
